"USAF","date","admin_lvl1_name","country_iso2_id","country_name","admin_lvl1_id","period_date","dengue_total_cases","LAT","LON","ELEV(M)","wban","yearmoda","temp","dewp","slp","stp","visib","wdsp","mxspd","gust","max","min","prcp","sndp","frshtt"
NA,2010-05-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100501,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-05-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100501,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"ampara","LKA","Sri Lanka","LK.AP",20100601,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100601,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"kalutara","LKA","Sri Lanka","LK.KT",20100601,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"kegalle","LKA","Sri Lanka","LK.KE",20100601,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100601,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"matale","LKA","Sri Lanka","LK.MT",20100601,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"matara","LKA","Sri Lanka","LK.MH",20100601,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100601,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"mulativu","LKA","Sri Lanka","LK.MP",20100601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100601,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-06-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100601,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"ampara","LKA","Sri Lanka","LK.AP",20100701,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100701,686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"kalutara","LKA","Sri Lanka","LK.KT",20100701,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"kegalle","LKA","Sri Lanka","LK.KE",20100701,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100701,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"matale","LKA","Sri Lanka","LK.MT",20100701,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"matara","LKA","Sri Lanka","LK.MH",20100701,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100701,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"mulativu","LKA","Sri Lanka","LK.MP",20100701,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100701,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-07-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100701,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"ampara","LKA","Sri Lanka","LK.AP",20100801,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100801,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"kalutara","LKA","Sri Lanka","LK.KT",20100801,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"kegalle","LKA","Sri Lanka","LK.KE",20100801,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100801,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"matale","LKA","Sri Lanka","LK.MT",20100801,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"matara","LKA","Sri Lanka","LK.MH",20100801,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100801,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"mulativu","LKA","Sri Lanka","LK.MP",20100801,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100801,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-08-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100801,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"ampara","LKA","Sri Lanka","LK.AP",20100901,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100901,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"kalutara","LKA","Sri Lanka","LK.KT",20100901,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"kegalle","LKA","Sri Lanka","LK.KE",20100901,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100901,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"matale","LKA","Sri Lanka","LK.MT",20100901,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"matara","LKA","Sri Lanka","LK.MH",20100901,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100901,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"mulativu","LKA","Sri Lanka","LK.MP",20100901,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100901,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-09-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100901,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"ampara","LKA","Sri Lanka","LK.AP",20101001,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"gampaha","LKA","Sri Lanka","LK.GQ",20101001,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"kalutara","LKA","Sri Lanka","LK.KT",20101001,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"kegalle","LKA","Sri Lanka","LK.KE",20101001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20101001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"matale","LKA","Sri Lanka","LK.MT",20101001,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"matara","LKA","Sri Lanka","LK.MH",20101001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"moneragala","LKA","Sri Lanka","LK.MJ",20101001,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"mulativu","LKA","Sri Lanka","LK.MP",20101001,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20101001,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-10-01,"trincomalee","LKA","Sri Lanka","LK.TC",20101001,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"ampara","LKA","Sri Lanka","LK.AP",20101101,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"gampaha","LKA","Sri Lanka","LK.GQ",20101101,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"kalutara","LKA","Sri Lanka","LK.KT",20101101,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-11-01,"kegalle","LKA","Sri Lanka","LK.KE",20101101,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
