country_iso2_id,country_name,admin_lvl1_id,admin_lvl1_name,period_date,dengue_total_cases
LKA,Sri Lanka,LK.KY,Kandy,20141001,289
LKA,Sri Lanka,LK.KY,Kandy,20141101,413
LKA,Sri Lanka,LK.KY,Kandy,20141201,377
LKA,Sri Lanka,LK.KY,Kandy,20150101,253
LKA,Sri Lanka,LK.KY,Kandy,20150201,156
LKA,Sri Lanka,LK.KY,Kandy,20150301,95
LKA,Sri Lanka,LK.KY,Kandy,20150401,63
LKA,Sri Lanka,LK.KY,Kandy,20150501,71
LKA,Sri Lanka,LK.KY,Kandy,20150601,70
LKA,Sri Lanka,LK.KY,Kandy,20150701,64
LKA,Sri Lanka,LK.KY,Kandy,20150801,47
LKA,Sri Lanka,LK.KY,Kandy,20150901,62
LKA,Sri Lanka,LK.KY,Kandy,20151001,154
LKA,Sri Lanka,LK.KY,Kandy,20151101,120
LKA,Sri Lanka,LK.KY,Kandy,20151201,170
LKA,Sri Lanka,LK.KY,Kandy,20160101,335
LKA,Sri Lanka,LK.KY,Kandy,20160201,207
LKA,Sri Lanka,LK.KY,Kandy,20160301,93
LKA,Sri Lanka,LK.KY,Kandy,20160401,109
LKA,Sri Lanka,LK.KY,Kandy,20160501,152
LKA,Sri Lanka,LK.KY,Kandy,20160601,504
LKA,Sri Lanka,LK.KY,Kandy,20160701,1215
LKA,Sri Lanka,LK.KY,Kandy,20160801,508
LKA,Sri Lanka,LK.KY,Kandy,20160901,347
LKA,Sri Lanka,LK.MT,Matale,20100101,138
LKA,Sri Lanka,LK.MT,Matale,20100201,113
LKA,Sri Lanka,LK.MT,Matale,20100301,35
LKA,Sri Lanka,LK.MT,Matale,20100401,46
LKA,Sri Lanka,LK.MT,Matale,20100501,35
LKA,Sri Lanka,LK.MT,Matale,20100601,35
LKA,Sri Lanka,LK.MT,Matale,20100701,97
LKA,Sri Lanka,LK.MT,Matale,20100801,43
LKA,Sri Lanka,LK.MT,Matale,20100901,23
LKA,Sri Lanka,LK.MT,Matale,20101001,21
LKA,Sri Lanka,LK.MT,Matale,20101101,19
LKA,Sri Lanka,LK.MT,Matale,20101201,45
LKA,Sri Lanka,LK.MT,Matale,20110101,10
LKA,Sri Lanka,LK.MT,Matale,20110201,18
LKA,Sri Lanka,LK.MT,Matale,20110301,16
LKA,Sri Lanka,LK.MT,Matale,20110401,20
LKA,Sri Lanka,LK.MT,Matale,20110501,37
LKA,Sri Lanka,LK.MT,Matale,20110601,53
LKA,Sri Lanka,LK.MT,Matale,20110701,66
LKA,Sri Lanka,LK.MT,Matale,20110801,25
LKA,Sri Lanka,LK.MT,Matale,20110901,26
LKA,Sri Lanka,LK.MT,Matale,20111001,17
LKA,Sri Lanka,LK.MT,Matale,20111101,21
LKA,Sri Lanka,LK.MT,Matale,20111201,56
LKA,Sri Lanka,LK.MT,Matale,20120101,45
LKA,Sri Lanka,LK.MT,Matale,20120201,47
LKA,Sri Lanka,LK.MT,Matale,20120301,59
LKA,Sri Lanka,LK.MT,Matale,20120401,35
LKA,Sri Lanka,LK.MT,Matale,20120501,32
LKA,Sri Lanka,LK.MT,Matale,20120601,81
LKA,Sri Lanka,LK.MT,Matale,20120701,29
LKA,Sri Lanka,LK.MT,Matale,20120801,62
LKA,Sri Lanka,LK.MT,Matale,20120901,46
LKA,Sri Lanka,LK.MT,Matale,20121001,44
LKA,Sri Lanka,LK.MT,Matale,20121101,47
LKA,Sri Lanka,LK.MT,Matale,20121201,69
LKA,Sri Lanka,LK.MT,Matale,20130101,48
LKA,Sri Lanka,LK.MT,Matale,20130201,47
LKA,Sri Lanka,LK.MT,Matale,20130301,49
LKA,Sri Lanka,LK.MT,Matale,20130401,32
LKA,Sri Lanka,LK.MT,Matale,20130501,30
LKA,Sri Lanka,LK.MT,Matale,20130601,37
LKA,Sri Lanka,LK.MT,Matale,20130701,52
LKA,Sri Lanka,LK.MT,Matale,20130801,66
LKA,Sri Lanka,LK.MT,Matale,20130901,32
LKA,Sri Lanka,LK.MT,Matale,20131001,24
LKA,Sri Lanka,LK.MT,Matale,20131101,39
LKA,Sri Lanka,LK.MT,Matale,20131201,39
LKA,Sri Lanka,LK.MT,Matale,20140101,40
LKA,Sri Lanka,LK.MT,Matale,20140201,35
LKA,Sri Lanka,LK.MT,Matale,20140301,18
LKA,Sri Lanka,LK.MT,Matale,20140401,14
LKA,Sri Lanka,LK.MT,Matale,20140501,14
LKA,Sri Lanka,LK.MT,Matale,20140601,81
LKA,Sri Lanka,LK.MT,Matale,20140701,75
LKA,Sri Lanka,LK.MT,Matale,20140801,55
LKA,Sri Lanka,LK.MT,Matale,20140901,27
LKA,Sri Lanka,LK.MT,Matale,20141001,81
LKA,Sri Lanka,LK.MT,Matale,20141101,101
LKA,Sri Lanka,LK.MT,Matale,20141201,108
LKA,Sri Lanka,LK.MT,Matale,20150101,166
LKA,Sri Lanka,LK.MT,Matale,20150201,92
LKA,Sri Lanka,LK.MT,Matale,20150301,26
LKA,Sri Lanka,LK.MT,Matale,20150401,16
LKA,Sri Lanka,LK.MT,Matale,20150501,10
LKA,Sri Lanka,LK.MT,Matale,20150601,16
LKA,Sri Lanka,LK.MT,Matale,20150701,8
LKA,Sri Lanka,LK.MT,Matale,20150801,7
LKA,Sri Lanka,LK.MT,Matale,20150901,8
LKA,Sri Lanka,LK.MT,Matale,20151001,12
LKA,Sri Lanka,LK.MT,Matale,20151101,18
LKA,Sri Lanka,LK.MT,Matale,20151201,22
LKA,Sri Lanka,LK.MT,Matale,20160101,51
LKA,Sri Lanka,LK.MT,Matale,20160201,42
LKA,Sri Lanka,LK.MT,Matale,20160301,33
LKA,Sri Lanka,LK.MT,Matale,20160401,21
LKA,Sri Lanka,LK.MT,Matale,20160501,29
LKA,Sri Lanka,LK.MT,Matale,20160601,89
LKA,Sri Lanka,LK.MT,Matale,20160701,338
LKA,Sri Lanka,LK.MT,Matale,20160801,133
LKA,Sri Lanka,LK.MT,Matale,20160901,135
LKA,Sri Lanka,LK.NW,Nuwara Eliya,20100101,28
LKA,Sri Lanka,LK.NW,Nuwara Eliya,20100201,11
LKA,Sri Lanka,LK.NW,Nuwara Eliya,20100301,15
